Metric,Trial,Duration(s)
Habituation_90deg_s,1,9.32
Habituation_90deg_s,2,7.78
Habituation_90deg_s,3,7.73
Habituation_90deg_s,Average,8.27
Habituation_60deg_s,1,7.73
Habituation_60deg_s,2,7.71
Habituation_60deg_s,3,7.60
Habituation_60deg_s,Average,7.68
Habituation_30deg_s,1,7.79
Habituation_30deg_s,2,7.77
Habituation_30deg_s,3,7.76
Habituation_30deg_s,Average,7.77
Habituation_15deg_s,1,7.60
Habituation_15deg_s,2,7.76
Habituation_15deg_s,3,7.66
Habituation_15deg_s,Average,7.68
PostRotationEffect,1,7.57
PostRotationEffect,2,8.03
PostRotationEffect,3,7.73
PostRotationEffect,Average,7.78
